,LoF_T,LoF_UT,LoF_OR,LoF_P_value,Missense_T,Missense_UT,Missense_OR,Missense_P_value,LoF.Missense_T,LoF.Missense_UT,LoF.Missense_OR,LoF.Missense_P_value
CD58,0,0,0,1,0,0,0,1,0,0,0,1
FBXO44,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
IGSF3,0,0,0,1,0,0,0,1,0,0,0,1
FBXO6,0,0,0,1,0,0,0,1,0,0,0,1
MAD2L2,0,1,0,1,0,0,0,1,0,1,0,1
CD2,0,0,0,1,0,0,0,1,0,0,0,1
PTGFRN,2,4,0.500014255,0.890625,0,0,0,1,2,4,0.500014255,0.890625
CD101,11,7,1.571395589,0.240341187,0,0,0,1,11,7,1.571395589,0.240341187
TTF2,9,5,1.799953604,0.211975098,0,0,0,1,9,5,1.799953604,0.211975098
DRAXIN,4,8,0.500014256,0.927001953,0,0,0,1,4,8,0.500014256,0.927001953
TRIM45,0,1,0,1,0,0,0,1,0,1,0,1
VTCN1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
AGTRAP,0,0,0,1,0,0,0,1,0,0,0,1
MAN1A2,0,0,0,1,0,0,0,1,0,0,0,1
C1orf167,0,0,0,1,0,0,0,1,0,0,0,1
GDAP2,3,5,0.600013957,0.85546875,0,0,0,1,3,5,0.600013957,0.85546875
MTHFR,2,6,0.333324491,0.96484375,0,0,0,1,2,6,0.333324491,0.96484375
TTLL10,0,2,0,1,0,0,0,1,0,2,0,1
WDR3,7,1,6.999549486,0.03515625,0,0,0,1,7,1,6.999549486,0.03515625
SPAG17,3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
CLCN6,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
NPPA,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
NPPB,1,1,1,0.75,0,0,0,1,1,1,1,0.75
TBX15,0,1,0,1,0,0,0,1,0,1,0,1
WARS2,2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
PLOD1,4,3,1.333315843,0.5,0,0,0,1,4,3,1.333315843,0.5
HAO2,4,3,1.333315843,0.5,0,0,0,1,4,3,1.333315843,0.5
HSD3B2,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
HSD3B1,0,0,0,1,0,0,0,1,0,0,0,1
ZNF697,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
PHGDH,1,1,1,0.75,0,0,0,1,1,1,1,0.75
HMGCS2,5,3,1.666627899,0.36328125,0,0,0,1,5,3,1.666627899,0.36328125
REG4,4,3,1.333315843,0.5,0,0,0,1,4,3,1.333315843,0.5
MFN2,0,0,0,1,0,0,0,1,0,0,0,1
NOTCH2,0,0,0,1,0,0,0,1,0,0,0,1
MIIP,16,28,0.571442814,0.975616617,0,0,0,1,16,28,0.571442814,0.975616617
TNFRSF18,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
TNFRSF8,0,0,0,1,0,0,0,1,0,0,0,1
TNFRSF4,0,2,0,1,0,0,0,1,0,2,0,1
FAM72B,0,0,0,1,0,0,0,1,0,0,0,1
SDF4,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
TNFRSF1B,0,0,0,1,0,0,0,1,0,0,0,1
VPS13D,0,1,0,1,1,0,Inf,0.5,1,1,1,0.75
B3GALT6,2,1,1.999942981,0.5,3,0,Inf,0.125,5,1,4.999580449,0.109375
UBE2J2,0,0,0,1,0,0,0,1,0,0,0,1
DHRS3,0,0,0,1,4,7,0.571442807,0.88671875,4,7,0.571442807,0.88671875
AADACL4,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
AADACL3,0,0,0,1,0,0,0,1,0,0,0,1
C1orf158,10,5,1.999942976,0.150878906,0,0,0,1,10,5,1.999942976,0.150878906
PRAMEF12,0,0,0,1,0,0,0,1,0,0,0,1
PRAMEF1,0,0,0,1,0,0,0,1,0,0,0,1
PRAMEF2,0,0,0,1,0,0,0,1,0,0,0,1
SCNN1D,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
PRAMEF7,0,0,0,1,0,0,0,1,0,0,0,1
ACAP3,0,0,0,1,0,0,0,1,0,0,0,1
PRAMEF6,0,0,0,1,0,0,0,1,0,0,0,1
PUSL1,19,24,0.79167479,0.819811174,0,0,0,1,19,24,0.79167479,0.819811174
TAS1R3,3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
DVL1,0,0,0,1,0,0,0,1,0,0,0,1
PRAMEF19,0,0,0,1,8,12,0.666679311,0.868412018,8,12,0.666679311,0.868412018
PRAMEF17,0,0,0,1,36,41,0.878053235,0.752808863,36,41,0.878053235,0.752808863
PRAMEF20,0,0,0,1,0,0,0,1,0,0,0,1
LRRC38,14,12,1.16665942,0.422509491,0,0,0,1,14,12,1.16665942,0.422509491
MXRA8,0,0,0,1,6,3,1.999942979,0.25390625,6,3,1.999942979,0.25390625
PDPN,0,0,0,1,0,0,0,1,0,0,0,1
PRDM2,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
AURKAIP1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
CCNL2,0,0,0,1,0,0,0,1,0,0,0,1
MRPL20,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
TMEM88B,0,0,0,1,0,0,0,1,0,0,0,1
VWA1,1,2,0.500014255,0.875,2,3,0.666679308,0.8125,3,5,0.600013957,0.85546875
NBPF15,0,0,0,1,0,0,0,1,0,0,0,1
ATAD3C,0,2,0,1,0,0,0,1,0,2,0,1
GPR89A,0,0,0,1,0,0,0,1,0,0,0,1
PDZK1,0,0,0,1,0,0,0,1,0,0,0,1
CD160,0,0,0,1,0,0,0,1,0,0,0,1
POLR3C,0,0,0,1,0,0,0,1,0,0,0,1
NUDT17,0,0,0,1,0,0,0,1,0,0,0,1
ANKRD35,0,0,0,1,0,0,0,1,0,0,0,1
ITGA10,0,0,0,1,0,0,0,1,0,0,0,1
PEX11B,0,0,0,1,0,0,0,1,0,0,0,1
LIX1L,0,0,0,1,0,0,0,1,0,0,0,1
POLR3GL,0,0,0,1,0,0,0,1,0,0,0,1
KAZN,0,0,0,1,12,12,1,0.580590129,12,12,1,0.580590129
TXNIP,0,0,0,1,0,0,0,1,0,0,0,1
NBPF12,0,0,0,1,0,0,0,1,0,0,0,1
PRKAB2,0,0,0,1,0,0,0,1,0,0,0,1
FMO5,1,4,0.250027597,0.96875,0,0,0,1,1,4,0.250027597,0.96875
CHD1L,22,24,0.916686957,0.670630961,0,0,0,1,22,24,0.916686957,0.670630961
BCL9,0,0,0,1,0,0,0,1,0,0,0,1
ACP6,5,5,1,0.623046875,0,0,0,1,5,5,1,0.623046875
ATAD3B,3,2,1.499971557,0.5,3,1,3.000079991,0.3125,6,3,1.999942979,0.25390625
GJA5,0,0,0,1,0,0,0,1,0,0,0,1
GJA8,0,0,0,1,0,0,0,1,0,0,0,1
GPR89B,9,17,0.529426121,0.962240651,0,0,0,1,9,17,0.529426121,0.962240651
NBPF14,0,0,0,1,0,0,0,1,0,0,0,1
NBPF9,0,0,0,1,0,0,0,1,0,0,0,1
HIST2H2BE,0,0,0,1,0,0,0,1,0,0,0,1
HIST2H2AB,2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
BOLA1,0,0,0,1,0,0,0,1,0,0,0,1
SV2A,0,0,0,1,1,1,1,0.75,1,1,1,0.75
SF3B4,0,0,0,1,2,1,1.999942981,0.5,2,1,1.999942981,0.5
MTMR11,15,7,2.142792866,0.066900253,0,0,0,1,15,7,2.142792866,0.066900253
OTUD7B,0,0,0,1,0,0,0,1,0,0,0,1
VPS45,2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
PLEKHO1,0,0,0,1,0,0,0,1,0,0,0,1
ANP32E,0,0,0,1,0,0,0,1,0,0,0,1
CA14,6,3,1.999942979,0.25390625,0,0,0,1,6,3,1.999942979,0.25390625
APH1A,0,0,0,1,1,3,0.333324446,0.9375,1,3,0.333324446,0.9375
C1orf54,0,0,0,1,0,0,0,1,0,0,0,1
MRPS21,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
PRPF3,0,0,0,1,3,2,1.499971557,0.5,3,2,1.499971557,0.5
RPRD2,0,0,0,1,11,7,1.571395589,0.240341187,11,7,1.571395589,0.240341187
TARS2,4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
ECM1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
ADAMTSL4,0,3,0,1,0,0,0,1,0,3,0,1
MCL1,0,0,0,1,0,0,0,1,0,0,0,1
ENSA,0,0,0,1,0,0,0,1,0,0,0,1
GOLPH3L,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
HORMAD1,1,1,1,0.75,0,2,0,1,1,3,0.333324446,0.9375
CTSS,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
CTSK,4,4,1,0.63671875,0,0,0,1,4,4,1,0.63671875
ARNT,0,0,0,1,8,8,1,0.598190308,8,8,1,0.598190308
SETDB1,0,0,0,1,1,4,0.250027597,0.96875,1,4,0.250027597,0.96875
CERS2,0,0,0,1,0,0,0,1,0,0,0,1
ANXA9,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
BNIPL,2,2,1,0.6875,0,0,0,1,2,2,1,0.6875
C1orf56,1,1,1,0.75,1,3,0.333324446,0.9375,2,4,0.500014255,0.890625
CDC42SE1,0,0,0,1,0,0,0,1,0,0,0,1
MLLT11,0,0,0,1,0,0,0,1,0,0,0,1
GABPB2,1,1,1,0.75,0,0,0,1,1,1,1,0.75
SEMA6C,0,1,0,1,0,0,0,1,0,1,0,1
TNFAIP8L2,0,0,0,1,0,0,0,1,0,0,0,1
LYSMD1,5,2,2.500066806,0.2265625,0,0,0,1,5,2,2.500066806,0.2265625
SCNM1,1,3,0.333324446,0.9375,0,0,0,1,1,3,0.333324446,0.9375
TMOD4,3,2,1.499971557,0.5,0,0,0,1,3,2,1.499971557,0.5
VPS72,0,1,0,1,0,0,0,1,0,1,0,1
PIP5K1A,0,0,0,1,0,0,0,1,0,0,0,1
PSMD4,0,0,0,1,0,0,0,1,0,0,0,1
ZNF687,0,0,0,1,0,0,0,1,0,0,0,1
PI4KB,0,0,0,1,7,6,1.166659418,0.5,7,6,1.166659418,0.5
RFX5,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
SELENBP1,1,4,0.250027597,0.96875,0,0,0,1,1,4,0.250027597,0.96875
PSMB4,0,0,0,1,0,0,0,1,0,0,0,1
POGZ,0,0,0,1,1,0,Inf,0.5,1,0,Inf,0.5
CGN,24,30,0.800007768,0.829554529,0,0,0,1,24,30,0.800007768,0.829554529
TUFT1,16,20,0.800007768,0.797483877,0,0,0,1,16,20,0.800007768,0.797483877
SNX27,0,0,0,1,0,0,0,1,0,0,0,1
CELF3,0,0,0,1,10,5,1.999942976,0.150878906,10,5,1.999942976,0.150878906
RIIAD1,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
MRPL9,5,4,1.249987863,0.5,0,0,0,1,5,4,1.249987863,0.5
OAZ3,3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
TDRKH,0,1,0,1,0,0,0,1,0,1,0,1
LINGO4,7,4,1.749956404,0.274414063,0,0,0,1,7,4,1.749956404,0.274414063
RORC,0,0,0,1,0,0,0,1,0,0,0,1
THEM5,7,8,0.875004583,0.696380615,0,0,0,1,7,8,0.875004583,0.696380615
THEM4,1,1,1,0.75,0,0,0,1,1,1,1,0.75
S100A10,0,0,0,1,0,0,0,1,0,0,0,1
S100A11,3,3,1,0.65625,0,0,0,1,3,3,1,0.65625
TCHHL1,0,0,0,1,0,0,0,1,0,0,0,1
TCHH,0,1,0,1,0,0,0,1,0,1,0,1
TMEM51,1,1,1,0.75,0,0,0,1,1,1,1,0.75
RPTN,0,0,0,1,0,0,0,1,0,0,0,1
HRNR,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
ATAD3A,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
FLG2,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
CRNN,0,0,0,1,0,0,0,1,0,0,0,1
LCE5A,0,0,0,1,0,0,0,1,0,0,0,1
CRCT1,0,0,0,1,0,0,0,1,0,0,0,1
LCE3E,0,0,0,1,0,0,0,1,0,0,0,1
LCE3D,0,0,0,1,0,0,0,1,0,0,0,1
LCE3C,0,0,0,1,0,0,0,1,0,0,0,1
LCE3B,0,0,0,1,0,0,0,1,0,0,0,1
LCE2D,0,0,0,1,0,0,0,1,0,0,0,1
LCE2C,0,0,0,1,0,0,0,1,0,0,0,1
LCE2B,0,0,0,1,0,0,0,1,0,0,0,1
LCE2A,0,0,0,1,0,0,0,1,0,0,0,1
KPRP,0,0,0,1,0,0,0,1,0,0,0,1
LCE1F,2,0,Inf,0.25,0,0,0,1,2,0,Inf,0.25
LCE1E,0,0,0,1,0,0,0,1,0,0,0,1
LCE1D,0,1,0,1,0,0,0,1,0,1,0,1
LCE1B,0,0,0,1,0,0,0,1,0,0,0,1
LCE1A,0,0,0,1,0,0,0,1,0,0,0,1
SPRR4,0,0,0,1,0,0,0,1,0,0,0,1
SPRR1A,0,0,0,1,0,0,0,1,0,0,0,1
SPRR1B,0,0,0,1,0,0,0,1,0,0,0,1
FHAD1,14,13,1.076887841,0.5,0,0,0,1,14,13,1.076887841,0.5
SPRR2E,0,0,0,1,0,0,0,1,0,0,0,1
LELP1,0,1,0,1,0,0,0,1,0,1,0,1
PRR9,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
PGLYRP3,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
PGLYRP4,1,6,0.166678457,0.9921875,0,0,0,1,1,6,0.166678457,0.9921875
S100A9,0,0,0,1,0,0,0,1,0,0,0,1
S100A12,0,0,0,1,0,0,0,1,0,0,0,1
S100A8,0,0,0,1,0,0,0,1,0,0,0,1
S100A7A,0,0,0,1,0,0,0,1,0,0,0,1
S100A7L2,0,0,0,1,0,0,0,1,0,0,0,1
S100A7,0,0,0,1,0,0,0,1,0,0,0,1
S100A6,0,0,0,1,0,0,0,1,0,0,0,1
S100A5,0,0,0,1,0,0,0,1,0,0,0,1
S100A4,0,0,0,1,0,0,0,1,0,0,0,1
S100A3,0,0,0,1,0,0,0,1,0,0,0,1
S100A2,13,13,1,0.577490509,0,0,0,1,13,13,1,0.577490509
S100A16,4,10,0.399989377,0.971313477,0,0,0,1,4,10,0.399989377,0.971313477
S100A14,0,1,0,1,0,0,0,1,0,1,0,1
S100A13,1,0,Inf,0.5,0,0,0,1,1,0,Inf,0.5
S100A1,0,1,0,1,0,0,0,1,0,1,0,1
CHTOP,0,0,0,1,0,0,0,1,0,0,0,1
SNAPIN,0,0,0,1,0,0,0,1,0,0,0,1
ILF2,0,0,0,1,0,1,0,1,0,1,0,1
NPR1,0,0,0,1,6,1,5.999575592,0.0625,6,1,5.999575592,0.0625
INTS3,0,0,0,1,5,1,4.999580449,0.109375,5,1,4.999580449,0.109375
SLC27A3,48,67,0.716429021,0.969145696,0,0,0,1,48,67,0.716429021,0.969145696
GATAD2B,0,0,0,1,2,1,1.999942981,0.5,2,1,1.999942981,0.5
DENND4B,0,0,0,1,3,2,1.499971557,0.5,3,2,1.499971557,0.5
CRTC2,0,0,0,1,0,0,0,1,0,0,0,1
SLC39A1,3,1,3.000079991,0.3125,0,0,0,1,3,1,3.000079991,0.3125
CREB3L4,0,0,0,1,0,0,0,1,0,0,0,1
JTB,0,0,0,1,24,14,1.714244143,0.071653327,24,14,1.714244143,0.071653327
RAB13,0,0,0,1,0,0,0,1,0,0,0,1
NUP210L,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
EFHD2,0,0,0,1,1,1,1,0.75,1,1,1,0.75
TPM3,0,0,0,1,5,1,4.999580449,0.109375,5,1,4.999580449,0.109375
C1orf189,2,1,1.999942981,0.5,0,0,0,1,2,1,1.999942981,0.5
C1orf43,0,1,0,1,0,0,0,1,0,1,0,1
SSU72,0,0,0,1,2,0,Inf,0.25,2,0,Inf,0.25
UBAP2L,0,0,0,1,2,1,1.999942981,0.5,2,1,1.999942981,0.5
HAX1,5,6,0.83333967,0.725585938,0,0,0,1,5,6,0.83333967,0.725585938
AQP10,0,0,0,1,0,0,0,1,0,0,0,1
ATP8B2,1,2,0.500014255,0.875,0,0,0,1,1,2,0.500014255,0.875
CTRC,3,0,Inf,0.125,0,0,0,1,3,0,Inf,0.125
IL6R,1,1,1,0.75,0,0,0,1,1,1,1,0.75
SHE,0,0,0,1,0,0,0,1,0,0,0,1
TDRD10,0,0,0,1,0,0,0,1,0,0,0,1
UBE2Q1,0,0,0,1,0,0,0,1,0,0,0,1
CELA2A,0,1,0,1,0,0,0,1,0,1,0,1
